"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"9225","Asia","Iraq",1429362,17548,426.136,296.533,3.23,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9226","Asia","Iraq",1438511,17592,427.204,297.57,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9227","Asia","Iraq",1447557,17630,428.127,298.632,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9228","Asia","Iraq",1457192,17677,429.269,299.739,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9229","Asia","Iraq",1466529,17707,429.997,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9230","Asia","Iraq",1474865,17751,431.066,301.887,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9231","Asia","Iraq",1483014,17789,431.988,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9232","Asia","Iraq",1491712,17830,432.984,303.719,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9233","Asia","Iraq",1501595,17892,434.49,304.712,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9234","Asia","Iraq",1510517,17951,435.922,305.682,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9235","Asia","Iraq",1518837,18020,437.598,306.485,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9236","Asia","Iraq",1526943,18101,439.565,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9237","Asia","Iraq",1535848,18167,441.168,308.087,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9238","Asia","Iraq",1543501,18232,442.746,308.773,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9239","Asia","Iraq",1552648,18287,444.082,309.701,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9240","Asia","Iraq",1564828,18347,445.539,310.936,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9241","Asia","Iraq",1577013,18418,447.263,312.208,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9242","Asia","Iraq",1590528,18484,448.866,313.616,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9243","Asia","Iraq",1603787,18533,450.056,315.046,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9244","Asia","Iraq",1616384,18595,451.561,316.513,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9245","Asia","Iraq",1626599,18657,453.067,317.56,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9246","Asia","Iraq",1635993,18734,454.937,318.672,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9247","Asia","Iraq",1648727,18802,456.588,319.971,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9248","Asia","Iraq",1660371,18865,458.118,321.229,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9249","Asia","Iraq",1673084,18938,459.891,322.49,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9250","Asia","Iraq",1684955,19000,461.396,323.721,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9251","Asia","Iraq",1696390,19087,463.509,324.979,5.11,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9252","Asia","Iraq",1704363,19146,464.942,325.831,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9253","Asia","Iraq",1712709,19203,466.326,326.845,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9254","Asia","Iraq",1722328,19270,467.953,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9255","Asia","Iraq",1732298,19336,469.556,328.933,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9256","Asia","Iraq",1740933,19402,471.158,329.943,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9257","Asia","Iraq",1751176,19466,472.713,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9258","Asia","Iraq",1761143,19541,474.534,332.152,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9259","Asia","Iraq",1768753,19606,476.112,332.984,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9260","Asia","Iraq",1775764,19672,477.715,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9261","Asia","Iraq",1784594,19740,479.366,334.85,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9262","Asia","Iraq",1793372,19815,481.188,335.875,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9263","Asia","Iraq",1801364,19886,482.912,336.873,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9264","Asia","Iraq",1809376,19958,484.66,337.86,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9265","Asia","Iraq",1815497,20025,486.287,338.599,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9266","Asia","Iraq",1819455,20110,488.352,339.165,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9267","Asia","Iraq",1825089,20184,490.149,339.936,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9268","Asia","Iraq",1832240,20262,492.043,340.896,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9269","Asia","Iraq",1839910,20337,493.864,341.927,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9270","Asia","Iraq",1847697,20410,495.637,342.99,7.57,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9271","Asia","Iraq",1855781,20480,497.337,344.07,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9272","Asia","Iraq",1862983,20559,499.255,345.088,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9273","Asia","Iraq",1868352,20632,501.028,345.816,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9274","Asia","Iraq",1874435,20699,502.655,346.601,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9275","Asia","Iraq",1881213,20764,504.233,347.551,8.18,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9276","Asia","Iraq",1888150,20830,505.836,348.526,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9277","Asia","Iraq",1895459,20878,507.002,349.534,8.51,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9278","Asia","Iraq",1902407,20934,508.362,350.481,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9279","Asia","Iraq",1908079,20994,509.819,351.406,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9280","Asia","Iraq",1912395,21042,510.984,352.107,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9281","Asia","Iraq",1917292,21100,512.393,352.858,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9282","Asia","Iraq",1922942,21162,513.898,353.693,9.12,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9283","Asia","Iraq",1928930,21220,515.307,354.611,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9284","Asia","Iraq",1934335,21282,516.812,NA,13.94,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9285","Asia","Iraq",1939408,21333,518.051,356.402,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9286","Asia","Iraq",1944125,21394,519.532,357.281,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9287","Asia","Iraq",1947211,21445,520.771,357.83,16.2,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9288","Asia","Iraq",1950765,21496,522.009,358.513,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9289","Asia","Iraq",1954969,21550,523.321,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
